%USGS SPCMSC mean beach slope derived from lidar surveys from 2000-2013, dunes from 2010 and 2013 in LMSL, Version 1.1 Compiled 3/29/17 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
289.194 42.4951 289.165 42.4984 0.1205 0.1790 0.0621 6.4524 3.5855 11 2013
289.201 42.5002 289.166 42.5028 0.1225 0.1788 0.0663 6.4905 3.5851 11 2013
289.249 42.5436 289.177 42.5471 0.1296 0.1649 0.0942 5.0517 3.4398 11 2013
289.255 42.5483 289.182 42.5541 0.1424 0.2211 0.0638 4.6000 3.0025 11 2013
289.262 42.5527 289.192 42.5595 0.0902 0.1461 0.0343 6.3726 3.4317 11 2013
289.269 42.5567 289.196 42.5621 0.0672 0.1116 0.0229 5.3390 3.1725 11 2013
289.276 42.5603 289.220 42.5650 0.0712 0.0952 0.0472 3.4088 2.5165 11 2013
289.284 42.5635 289.237 42.5674 0.0578 0.1053 0.0103 7.0139 3.1970 11 2013
289.292 42.5664 289.241 42.5706 0.0561 0.1023 0.0099 7.1312 3.2711 11 2013
289.300 42.5690 289.252 42.5741 0.0768 0.1197 0.0339 14.6742 3.1583 11 2013
289.309 42.5715 289.258 42.5755 0.0898 0.1571 0.0225 8.9732 2.9454 11 2013
289.317 42.5740 289.268 42.5793 0.1123 0.1332 0.0915 3.9878 2.6730 11 2013
289.342 42.5826 289.344 42.5823 0.1453 0.1733 0.1174 4.3306 3.1223 11 2013
289.350 42.5860 289.348 42.5853 0.1458 0.2072 0.0844 4.7038 2.9996 11 2013
289.357 42.5897 289.348 42.5892 0.1194 0.2301 0.0088 4.4417 3.0086 11 2013
289.365 42.5936 289.355 42.5952 0.0998 0.1363 0.0633 4.9975 3.1795 11 2013
289.373 42.5977 289.360 42.5976 0.1356 0.2085 0.0628 5.6925 3.1201 11 2013
289.380 42.6021 289.366 42.6050 0.1259 0.2048 0.0470 5.1946 3.0434 11 2013
289.387 42.6065 289.366 42.6094 0.1292 0.2004 0.0579 6.3037 3.1310 11 2013
